ticker,open_date,strategy,entry_price,exit_price,entry_iv,exit_iv,pnl,win
CAT,2025-04-01,Vertical Call,330.57000732421875,337.9700034005302,0.3546207116699218,0.28369656933593745,1.6789173047360502,True
CAT,2024-12-30,Long ATM Straddle,363.010009765625,370.7321581159319,0.2946847875976562,0.23574783007812497,2.1272549358329464,True
CAT,2024-10-02,Iron Condor,394.04998779296875,404.04712568010603,0.6123085644531252,0.4898468515625002,1.2685113814024156,True
CAT,2024-07-09,Vertical Call,326.05999755859375,331.7200012207031,0.5118457019042968,0.4094765615234375,1.3019084764665725,True
CAT,2024-03-27,Vertical Call,364.6499938964844,371.27213614327565,0.2946847875976562,0.23574783007812497,1.3620202298709962,True
CAT,2023-12-29,Iron Condor,295.6700134277344,301.8985813685826,0.5400436621093752,0.4320349296875001,1.0532971992390696,True
CAT,2023-10-03,Iron Condor,268.9700012207031,274.8985704694476,0.6992217578125001,0.5593774062500001,1.1020874487559928,True
CAT,2023-07-03,Iron Condor,247.3300018310547,252.80071367536274,2.446048806762695,1.956839045410156,1.1059539489359949,True
CMI,2025-04-04,Vertical Call,277.6199951171875,288.432139805385,0.48743188354492195,0.3899455068359376,2.9209382100612693,True
CMI,2025-01-03,Vertical Call,354.3500061035156,360.6221531459263,0.28137925659179686,0.2251034052734375,1.327532157692085,True
CMI,2024-10-08,Long ATM Straddle,329.6099853515625,336.7292742047991,0.2853465020751953,0.22827720166015625,2.159912978862932,True
CMI,2024-07-03,Iron Condor,272.0799865722656,278.64998735700334,0.5405319384765627,0.43242555078125017,1.2073656845379002,True
CMI,2024-04-04,Vertical Call,294.75,301.0735691615513,0.39038695556640624,0.312309564453125,1.6090506772395263,True
CMI,2024-01-08,Vertical Call,241.1699981689453,245.4921373639788,0.6162147753906251,0.4929718203125001,1.3441159434782972,True
CMI,2023-10-04,Vertical Call,227.66000366210938,231.89929199218753,0.6535679174804689,0.5228543339843752,1.3965853449943384,True
CMI,2023-07-05,Iron Condor,243.3000030517578,248.56500244140622,0.6162147753906251,0.4929718203125001,1.08199739490517,True
CRM,2025-01-30,Vertical Call,343.57000732421875,354.31929016113287,0.8300798242187499,0.664063859375,2.3465267502461784,True
CRM,2024-10-31,Vertical Call,291.3699951171875,296.7171391078404,0.813478427734375,0.6507827421875,1.3763798813178174,True
CRM,2024-08-02,Iron Condor,243.97000122070312,251.63214002336775,0.8637708935546875,0.69101671484375,1.5703034726251452,True
CRM,2024-05-02,Long ATM Straddle,272.1300048828125,279.4071480887277,0.8195818823242187,0.655665505859375,2.674142165634745,True
CRM,2024-01-31,Vertical Call,281.0899963378906,286.6707087925502,0.8085956640624999,0.64687653125,1.489037103961317,True
CRM,2023-11-01,Iron Condor,203.91000366210938,209.000004359654,0.9863282617187501,0.7890626093750002,1.2480998004342807,True
CRM,2023-08-03,Long ATM Straddle,215.55999755859375,220.35142517089847,1.0000000000000003e-05,8.000000000000003e-06,2.2227814374521304,True
CSCO,2025-04-15,Vertical Call,57.20000076293945,59.51785796029227,0.5918009570312501,0.47344076562500015,3.0391483825659997,True
CSCO,2025-01-14,Vertical Call,59.33000183105469,60.17214502607073,0.831056376953125,0.6648451015625,1.0645666218932002,True
CSCO,2024-10-16,Vertical Call,56.380001068115234,57.142858505249016,0.6699251757812501,0.5359401406250001,1.0147979194947332,True
CSCO,2024-07-17,Vertical Call,48.52000045776367,49.26214327130999,0.7578149218750001,0.6062519375000002,1.1471704552935038,True
CSCO,2024-04-17,Vertical Call,47.790000915527344,48.708571842738564,0.7578149218750001,0.6062519375000002,1.4415739322251702,True
CSCO,2024-01-17,Vertical Call,50.29999923706055,50.85357093811035,0.7578149218750001,0.6062519375000002,0.8254051333691748,True
CSCO,2023-10-18,Vertical Call,53.77000045776367,54.52928652082171,0.9521489160156249,0.7617191328124999,1.0590748418178666,True
CSCO,2023-07-19,Vertical Call,52.43000030517578,53.3242849622454,0.79687703125,0.6375016250000001,1.2792551762316122,True
DDOG,2025-04-07,Vertical Call,88.19999694824219,93.05678231375559,1.1445355273437499,0.9156284218749999,4.129919671394775,True
DDOG,2025-01-15,Long ATM Straddle,140.9499969482422,144.5076413835798,0.79883013671875,0.639064109375,2.5240471886239226,True
DDOG,2024-10-10,Long ATM Straddle,130.08999633789062,133.36699676513672,0.48828636718750007,0.3906290937500001,2.519025689519233,True
DDOG,2024-07-11,Long ATM Straddle,127.19000244140625,131.19671521868025,0.5117236328125,0.40937890625,3.150179023795368,True
DDOG,2024-04-11,Long ATM Straddle,130.8000030517578,134.66671861921037,0.48828636718750007,0.3906290937500001,2.9562044932999734,True
DDOG,2024-01-18,Long ATM Straddle,126.91999816894531,130.73771286010742,0.5117236328125,0.40937890625,3.007969387204281,True
DDOG,2023-10-12,Iron Condor,87.9800033569336,91.53457369123186,1.1445355273437499,0.9156284218749999,2.0201012722615106,True
DDOG,2023-07-13,Long ATM Straddle,109.19000244140625,113.05843244280133,0.46924358886718753,0.37539487109375,3.5428426732300644,True
DELL,2025-01-29,Vertical Call,103.0999984741211,108.17214093889508,0.9577640942382811,0.766211275390625,3.6897254169556146,True
DELL,2024-10-29,Long ATM Straddle,121.62999725341797,125.36999838692803,0.9028330029296875,0.7222664023437501,3.074900286084604,True
DELL,2024-08-01,Iron Condor,108.43000030517578,114.30357142857143,0.9455571850585938,0.756445748046875,2.7084621907518707,True
DELL,2024-05-01,Long ATM Straddle,118.77999877929688,124.19071360996791,0.9077157666015624,0.7261726132812499,4.5552406855337635,True
